gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,1,-0.4656833638455588,1,0,-0.0004737233752722791,-0.41992452133030306,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
0,0,0,0,0.8855367868020159,1,1,1.074753860742306,1.2560166908962713,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
1,0,1,0,-1.2846046672683313,0,1,-1.3764991324160054,-1.000283212767101,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,-1.1617664717549154,1,1,0.17734598528095805,-0.9054974060033342,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,-1.32555073243947,1,1,-0.09852384310160459,-1.0106455771895266,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0,0,0,-1.0389282762414995,1,1,0.15574172161244393,-0.7802652491881755,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,-0.015276646963033904,1,0,-1.5260671116595634,-0.7393460617461018,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,1,1,1.6225659598825113,1,1,-1.4978153822468916,-0.38552323901534147,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,-0.547575494187836,0,1,-0.8380544071391968,-0.6865841721069701,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0,0,1,-0.9160900807280837,1,1,-1.4928297829387727,-0.9136503110606371,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,1,1,0,-0.4656833638455588,1,1,0.14078492368808804,-0.35896553744656584,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,0,0,0.5170222002617683,1,1,0.17236038597283926,0.34262618935451833,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,0,-0.015276646963033904,1,0,-1.4978153822468916,-0.7509457234129964,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,1,0,0.3122918744060751,1,0,1.3589330213050659,0.8579163024884507,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
0,0,0,0,0.5989143306040455,0,0,-0.7632704175174179,-0.181987842300232,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
0,0,0,0,0.1485076137215206,0,1,-0.3910123358445623,-0.17049865360159358,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True
0,0,1,1,1.4997277643690954,1,1,1.3373287576365518,2.186353745768516,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,0,1,0,1.5816198947113727,1,1,0.52633793684926,1.5103696530092046,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,1,0,1.5816198947113727,1,1,-1.3366143379510567,-0.2549441905365858,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,1,0,0.10756154855038198,0,0,-0.38935046940852286,-0.15739655956641552,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
